Formula,¦Ìe(cm^2/(V¡¤s)),¦Ìh(cm^2/(V¡¤s)),Source
P(BP),303,800,10.1103/PhysRevLett.125.177701
Bi,233,45,10.1103/PhysRevLett.125.177702
WS2,246,2182,10.1103/PhysRevLett.125.177703
MoS2(H),183,129,10.1103/PhysRevLett.125.177704
As,49,684,10.1103/PhysRevLett.125.177705
Sb,50,905,10.1103/PhysRevLett.125.177706
P,51,0.9,10.1103/PhysRevLett.125.177707
MoSe2(H),88,138,10.1103/PhysRevLett.125.177708
MoTe2(H),41,43,10.1103/PhysRevLett.125.177709
WSe2(H),53,524,10.1103/PhysRevLett.125.177710
PdSe2(T),82,40,10.1103/PhysRevLett.125.177711
PtS2(T),24,0.6,10.1103/PhysRevLett.125.177712
PtSe2(T),39,2.2,10.1103/PhysRevLett.125.177713
PtTe2(T),31,132,10.1103/PhysRevLett.125.177714
ZrS2(T),0.8,2.5,10.1103/PhysRevLett.125.177715
ZrSe2(T),1.4,6,10.1103/PhysRevLett.125.177716
HfS2(T),0.8,2.5,10.1103/PhysRevLett.125.177717
HfSe2(T),2,6.7,10.1103/PhysRevLett.125.177718
SnS2(T),5.7,3.1,10.1103/PhysRevLett.125.177719
SnSe2(T),8.1,5.3,10.1103/PhysRevLett.125.177720
GaS,6.7,0.3,10.1103/PhysRevLett.125.177721
GaSe,39,0.4,10.1103/PhysRevLett.125.177722
GaTe,20,3.6,10.1103/PhysRevLett.125.177723
InS,10,0.2,10.1103/PhysRevLett.125.177724
InSe,18,0.3,10.1103/PhysRevLett.125.177725
InTe,28,0.6,10.1103/PhysRevLett.125.177726
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
